"id","title","authors","year","source","abstract","education_level","ai_tool","main_theme","secondary_theme","overall_tone","benefit_discussed","concern_discussed","student_group","manual_notes"
"1","ChatGPT in K-12 Education","Lauren Hays, Odin Jurkowski, and Shantia Kerr Sims","2024","https://link.springer.com/article/10.1007/s11528-023-00924-z","This article examines what K-12 teachers are thinking about and doing with ChatGPT, based on a survey of Missouri teachers. The study finds that teachers are concerned about ChatGPT's impact on education while also looking for ways to incorporate it effectively into their classes.","K-12","ChatGPT","teacher attitudes","policy","mixed","yes","yes","teachers and K-12 students","Useful source for understanding teacher concern, professional development needs, and classroom uncertainty around ChatGPT."
"2","A systematic review of ChatGPT use in K-12 education","Peng Zhang and Gemma Tur","2024","https://doi.org/10.1111/ejed.12599","This systematic review examines ChatGPT use in K-12 education. It highlights potential benefits for curriculum design, lesson planning, material generation, differentiation, and personalized learning, while also noting concerns about academic integrity and output quality.","K-12","ChatGPT","personalized learning","academic integrity","mixed","yes","yes","K-12 students and educators","Strong review article for framing both the opportunities and risks of ChatGPT in school settings."
"3","Teacher perspectives of ChatGPT as a pedagogical tool in the K-12 setting: a case study","T. Bateman","2025","https://doi.org/10.1108/QAE-02-2024-0042","This qualitative exploratory case study examines teacher experiences and perspectives of ChatGPT as a pedagogical tool. It focuses on both the benefits and concerns of using ChatGPT for curriculum and instruction in K-12 settings.","K-12","ChatGPT","teacher attitudes","curriculum","mixed","yes","yes","teachers and K-12 students","Useful for the dataset because it centers teacher perspectives rather than only student outcomes."
"4","Use of ChatGPT as a Virtual Mentor on K-12 Students Learning Science in the Fourth Industrial Revolution","R. CastaÃ±eda, A. MartÃ­nez-GÃ³mez-AldaravÃ­, L. MercadÃ©, V. J. GÃ³mez, T. Mengual, F. J. DÃ­az-FernÃ¡ndez, M. Sinusia Lozano, J. Navarro Arenas, Ã. Barreda, M. GÃ³mez, E. Pinilla-Cienfuegos, and D. Ortiz de ZÃ¡rate","2024","https://www.mdpi.com/2673-9585/4/4/31","This study investigates ChatGPT as a virtual mentor for K-12 students learning science at home. It evaluates ChatGPT's performance in K-12 science and reports improved grades and positive student perceptions after an intervention.","K-12","ChatGPT","personalized learning","productivity","positive","yes","yes","15-16-year-old K-12 science students","This is one of the most directly relevant sources because it connects ChatGPT to student learning support and productivity-like outcomes."
"5","Artificial Intelligence and K-12 Education: Possibilities, Pedagogies and Risks","J. Mintz, W. Holmes, L. Liu, and M. Perez-Ortiz","2023","https://doi.org/10.1080/07380569.2023.2279870","This article discusses the possibilities, pedagogical uses, and risks of artificial intelligence in K-12 education. It considers how AI-enabled tools may support schools while also raising concerns about dependence on technology, critical thinking, academic honesty, and student-teacher interaction.","K-12","generative AI","ethics","policy","mixed","yes","yes","K-12 students and educators","Good broad framing source because it addresses both pedagogical possibilities and risks rather than focusing only on ChatGPT."
"6","K-12 Education in the Age of AI: A Call to Action for K-12 AI Literacy","Ning Wang and James Lester","2023","https://link.springer.com/article/10.1007/s40593-023-00358-x","This article argues that K-12 education needs AI literacy curricula to prepare students for a labor market shaped by artificial intelligence. It defines AI literacy and proposes research areas including AI learning, curriculum integration, teacher professional development, and assessment.","K-12","generative AI","policy","ethics","positive","yes","yes","K-12 students and educators","Important framing source because it presents AI literacy as a necessary educational response rather than only a classroom tool."
"7","A Holistic Approach to the Design of Artificial Intelligence (AI) Education for K-12 Schools","Thomas K. F. Chiu","2021","https://link.springer.com/article/10.1007/s11528-021-00637-1","This article discusses challenges in designing AI-related curricula for K-12 schools and emphasizes the importance of teacher perspectives in making sense of emerging AI technologies.","K-12","generative AI","curriculum","teacher attitudes","mixed","yes","yes","K-12 students and teachers","Useful because it focuses on curriculum design and teacher involvement rather than only student use."
"8","Artificial intelligence (AI) learning tools in K-12 education: A scoping review","Iris Heung Yue Yim and Jiahong Su","2024","https://link.springer.com/article/10.1007/s40692-023-00304-9","This scoping review analyzes 46 studies about AI literacy education in K-12 contexts, focusing on pedagogical strategies, learning tools, assessment methods, and student learning outcomes.","K-12","AI tutoring system","AI literacy","personalized learning","positive","yes","yes","K-12 students","Good source for showing that AI education includes many tools beyond ChatGPT, such as Teachable Machine, Scratch, Python, and other learning systems."
"9","Artificial intelligence in K-12 education","Helen Crompton and Diane Burke","2022","https://link.springer.com/article/10.1007/s43545-022-00425-5","This thematic systematic review examines how AI has been used to support teaching and learning in K-12 education. It identifies uses for educators including student monitoring, group management, automated grading, and data-driven decisions, as well as student-facing uses such as AI tutors and personalized learning.","K-12","AI tutoring system","personalized learning","automated grading","positive","yes","yes","K-12 students and educators","Helpful broad review because it organizes AI uses around both teacher-facing and student-facing educational affordances."
"10","Artificial Intelligence in Education: Addressing Ethical Challenges in K-12 Learning Environments","Rafael Castañeda * , Laura Mercadé , Víctor J. Gómez , Teresa Mengual , Francisco Javier Díaz-Fernández , Miguel Sinusia Lozano , Juan Navarro Arenas , Ángela Barreda , Maribel Gómez-Gómez , Elena Pinilla Cienfuegos , David Ortiz de Zárate *","2024","https://www.preprints.org/frontend/manuscript/3c981ef805c8ec191c03c4c80c0aacc0/download_pub","This paper discusses ethical challenges surrounding artificial intelligence in K-12 education, including algorithmic bias, student privacy, surveillance concerns, and unequal access to AI-powered educational tools.","K-12","generative AI","ethics","policy","mixed","yes","yes","K-12 students","Strong ethics-focused source emphasizing privacy, fairness, and responsible AI integration."
"11","Teacher Perspectives on Artificial Intelligence Integration in K-12 Education","Jeromomie Whalen, William Grube, Chenyang Xu, Torry Trust","2024","https://link.springer.com/article/10.1007/s11528-024-01028-y","This article explores teacher perspectives regarding AI integration in K-12 classrooms, focusing on classroom practices, professional development, instructional support, and concerns about student dependency on AI tools.","K-12","generative AI","teacher attitudes","productivity","mixed","yes","yes","teachers and students","Highlights tensions between instructional efficiency and fears of overreliance on AI systems."
"12","AI Literacy and Future Readiness in K-12 Education","Ning Wang and James Lester","2023","https://link.springer.com/article/10.1007/s40593-023-00358-x","This article examines AI literacy frameworks for K-12 learners and discusses how schools can prepare students for AI-integrated societies and workplaces.","K-12","generative AI","AI literacy","policy","positive","yes","yes","K-12 students","Emphasizes the importance of long-term AI literacy and workforce preparedness."
"13","Artificial Intelligence and Personalized Learning in K-12 Schools","Zahid Hussain Sahito , Farzana Zahid Sahito , Muhammad Imran","2022","https://www.gesrjournal.com/article/the-role-of-artificial-intelligence-ai-in-personalized-learning-a-case-study-in-k12-education","This case study examines how artificial intelligence supports personalized learning environments in K-12 schools through adaptive instruction, individualized pacing, and automated feedback systems.","K-12","AI tutoring system","personalized learning","productivity","positive","yes","no","K-12 students","Useful source for demonstrating how AI systems are framed as efficiency and personalization tools."
"14","Artificial Intelligence and Literacy Development in K-12 Schools","Damian Maher (University of Technology, Sydney, Australia) and Kirsty Young (University of Technology Sydney, Australia)","2023","https://www.igi-global.com/chapter/artificial-intelligence-and-literacy-development-in-k12-schools/330830","This chapter discusses how AI technologies may support literacy development in K-12 schools through adaptive reading systems, writing support tools, and individualized educational assistance.","K-12","AI tutoring system","writing assistance","personalized learning","positive","yes","yes","K-12 students","Useful literacy-focused source discussing individualized AI-assisted instruction."
"15","Artificial Intelligence in Education","Wayne Holmes, Maya Bialik, and Charles Fadel","2019","https://doi.org/10.1609/aimag.v40i4.5289","This article explores how artificial intelligence may transform education through intelligent tutoring systems, adaptive learning technologies, and automated educational support systems while also discussing ethical and societal implications.","K-12","AI tutoring system","personalized learning","ethics","mixed","yes","yes","students and educators","Foundational overview article discussing opportunities and concerns associated with AI in education."
"16","Generative AI in Education: Opportunities and Challenges","Sang Joon Lee, Kyungbin Kwon","2024","https://doi.org/10.1016/j.caeai.2024.100211","This article analyzes the emerging role of generative AI technologies in education, examining instructional support, automated content creation, and concerns regarding academic integrity and overreliance on AI systems.","K-12","generative AI","academic integrity","productivity","mixed","yes","yes","students and educators","Strong source for balancing AI efficiency benefits with concerns about misuse and dependency."
